parameter,param_value,scenario,weekly_total,annual_total
insurance_per_day,55.0,Overnight (CW+LS),31135.22,1619031.44
insurance_per_day,55.0,Mixed Fleet (Van+ST),32344.45,1681911.4
insurance_per_day,55.0,ALNS,29079.14,1512115.28
insurance_per_day,55.0,ALNS + Overnight,29960.16,1557928.32
insurance_per_day,60.0,Base Case (CW+LS),29448.28,1531310.56
insurance_per_day,60.0,Overnight (CW+LS),31295.22,1627351.44
insurance_per_day,60.0,Mixed Fleet (Van+ST),32539.45,1692051.4
insurance_per_day,60.0,ALNS,29234.14,1520175.28
insurance_per_day,60.0,ALNS + Overnight,30115.16,1565988.32
insurance_per_day,65.0,Base Case (CW+LS),29608.28,1539630.56
insurance_per_day,65.0,Overnight (CW+LS),31455.22,1635671.44
insurance_per_day,65.0,Mixed Fleet (Van+ST),32734.45,1702191.4
insurance_per_day,65.0,ALNS,29389.14,1528235.28
insurance_per_day,65.0,ALNS + Overnight,30270.16,1574048.32
insurance_per_day,70.0,Base Case (CW+LS),29768.28,1547950.56
insurance_per_day,70.0,Overnight (CW+LS),31615.22,1643991.44
insurance_per_day,70.0,Mixed Fleet (Van+ST),32929.45,1712331.4
insurance_per_day,70.0,ALNS,29544.14,1536295.28
insurance_per_day,70.0,ALNS + Overnight,30425.16,1582108.32
insurance_per_day,75.0,Base Case (CW+LS),29928.28,1556270.56
insurance_per_day,75.0,Overnight (CW+LS),31775.22,1652311.44
insurance_per_day,75.0,Mixed Fleet (Van+ST),33124.45,1722471.4
insurance_per_day,75.0,ALNS,29699.14,1544355.28
insurance_per_day,75.0,ALNS + Overnight,30580.16,1590168.32
